Total Inefficiencies,Total Lines of Code,Total Java Files,Most Frequent Analyzer,Second Most Frequent Analyzer,Third Most Frequent Analyzer
68,33990,337,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
8,3105,9,None,InstanceofAnalyzer,LoopInefficiencyAnalyzer
220,59152,260,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
2,85699,43,None,LoopInefficiencyAnalyzer,None
17,6427,83,None,LoopInefficiencyAnalyzer,LoopObjectCreationAnalyzer
2,459,14,None,InstanceofAnalyzer,None
49,8739,80,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
6,1617,16,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
116,58267,433,None,LoopInefficiencyAnalyzer,LoopObjectCreationAnalyzer
10,9046,47,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
16,5591,55,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
91,105661,450,None,InstanceofAnalyzer,LoopInefficiencyAnalyzer
0,323,4,None,None,None
56,45547,321,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
12,2448,57,None,InstanceofAnalyzer,LoopInefficiencyAnalyzer
0,75,5,None,None,None
0,0,5,None,None,None
14,5932,64,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
109,33746,351,None,LoopObjectCreationAnalyzer,InstanceofAnalyzer
17,19022,202,None,InstanceofAnalyzer,LoopInefficiencyAnalyzer
0,9742,55,None,None,None
2,516,3,None,LoopInefficiencyAnalyzer,None
3,658,2,None,LoopInefficiencyAnalyzer,ExpressionEliminationAnalyzer
8,5202,73,None,LoopInefficiencyAnalyzer,None
0,119,3,None,None,None
0,0,3,None,None,None
0,0,3,None,None,None
42,6776,96,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
2,207,3,None,LoopInefficiencyAnalyzer,None
2,518,3,None,LoopInefficiencyAnalyzer,None
2,1219,45,None,LoopInefficiencyAnalyzer,None
0,312,1,None,None,None
3,2683,38,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
27,21350,315,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
296,158209,613,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
117,89723,598,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
229,148768,1055,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
119,83432,289,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
2,4933,43,None,InstanceofAnalyzer,None
449,161497,785,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
46,25447,556,None,LoopInefficiencyAnalyzer,None
3,1325,2,None,LoopInefficiencyAnalyzer,ExpressionEliminationAnalyzer
3,2222,19,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
75,26005,236,None,LoopInefficiencyAnalyzer,LoopObjectCreationAnalyzer
10,12215,86,None,InstanceofAnalyzer,LoopObjectCreationAnalyzer
0,1081,13,None,None,None
0,724,2,None,None,None
339,210481,1227,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
55,9199,70,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
16,3867,42,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
15,2659,33,None,LoopInefficiencyAnalyzer,ExpressionEliminationAnalyzer
4,6153,143,None,InstanceofAnalyzer,None
11,2046,14,None,LoopInefficiencyAnalyzer,InstanceofAnalyzer
26,16851,100,None,InstanceofAnalyzer,LoopInefficiencyAnalyzer
0,5,1,None,None,None
