Efficient_Peak_Memory(MB),Inefficient_Peak_Memory(MB),Statistical_Significance
62.714,221.08,significant
221.08,188.563,significant
198.592,199.791,insignificant
199.791,198.203,significant
221.193,207.403,significant
207.403,212.795,significant
212.795,139.188,significant
217.073,104.497,significant
187.524,220.732,significant
220.732,166.136,significant
223.971,222.226,significant
222.226,223.719,significant
223.719,222.003,significant
222.003,224.202,insignificant
224.202,209.784,significant
209.784,141.097,significant
224.152,222.206,significant
223.404,219.745,significant
219.745,203.059,significant
213.923,212.153,significant
212.153,185.709,significant
185.709,140.053,significant
192.08,218.128,significant
225.372,207.676,significant
207.676,141.995,significant
194.336,219.815,insignificant
227.596,194.336,significant
219.785,227.596,significant
189.335,229.759,significant
226.544,213.36,significant
221.853,226.544,significant
196.273,222.786,significant
227.634,229.247,insignificant
227.746,227.634,significant
232.266,227.746,significant
224.428,232.266,significant
229.721,224.428,insignificant
173.278,229.721,significant
97.631,213.108,significant
230.693,97.631,significant
168.258,232.803,significant
220.408,187.199,significant
233.68,220.408,significant
162.207,233.68,significant
234.344,162.207,significant
232.857,234.344,significant
157.192,235.684,significant
214.335,196.136,significant
227.793,214.403,insignificant
234.089,229.816,insignificant
